Daniel Jones 
Daniel Kessler 
Dann Huff
Danny Cedrone 
Danny Elfman 
Danny Gatton
Danny Jones 
Danny McCulloch 
Dan Swanö
Dante DeCaro 
Dan Tyminski 
Darius Rucker 
Daron Malakian 
Darren Middleton 
Daryl Stuermer 
Dave Baksh 
Dave Brock 
Dave Davies 
Dave Dederer 
Dave Edmunds
Dave Genn 
Dave Gonzalez 
Dave Gregory 
Dave Grohl 
Dave Haywood 
Dave Kelly 
Dave Keuning 
Dave King 
Dave Kushner 
Dave Martone
Dave Mason
Dave Matthews 
Dave McPherson 
Dave Murray 
Dave Mustaine 
Dave Navarro 
Dave Pino 
Dave Sharp 
Dave Wakeling 
Dave Weiner 
Davey Graham
Davey Johnstone 
David Ball 
David Bromberg
David Byrne 
David Crosby 
David Gilmour 
David Grier
David Kennedy 
David Knopfler
David Lindley
David Russell
David St. Hubbins 
David T. Chastain 
David T. Walker
David Wilcox
Dean DeLeo 
Dean Fertita
Dean Pleasants 
Dean Ween 
Deborah Coleman
Declan Galbraith
Deke Leonard 
Del Marquis 
Del Shannon
Demi Lovato
Denis D'Amour 
Denny Laine 
Denny Walley 
Derek Bailey
Derek Leckenby 
Derek Trucks 
Deron Miller 
Deryck Whibley 
Desireé Bassett
Devendra Banhart
Devin Bronson 
Devin Townsend 
Dexter Holland 
Dhani Harrison 
Diblo Dibala
Dick Dale
Dickey Betts 
Dick Gaughan
Didi Priyadi 
Dido
Die 
Dimebag Darrell Abbott 
Dino Cazares 
Django Reinhardt
DJ Ashba 
Doc Watson
Dolan Ellis
Dominic Miller 
Dominic Scott 
Donald Buck Dharma Roeser 
Donald Kinsey 
Don Barnes 
Don Felder 
Don Henley 
Donita Sparks 
Donnie Dacus
Donnie Iris
Donnie Van Zant 
Donovan
Don Ross
Doug Aldrich 
Doug Grean
Doug Hopkins 
Dougie Poynter 
Doug Macleod
Doyle Dykes
Drake Bell
Dregen 
Drew Abbott
Drew Shirley 
Dr. Know 
Dr Nico Kasanda
Duane Allman 
Duane Denison 
Duane Eddy
Duff McKagan 
Duncan Lloyd 
Dustie Waring 
Dusty Redmon
Dweezil Zappa
Earl Klugh
Eason Chan
Easton Corbin
Eddie Cochran
Eddie Hazel 
Eddie Mesa
Eddie Ojeda 
Eddie Rabbitt
Eddie Van Halen 
Eddie Vedder 
Edgar Froese 
Ed King
Ed O'Brien 
Ed Robertson 
Ed Sheeran
Eduardo Egüez
Edward Stephenson
Elias Viljanen 
Eliot Fisk
Elizabeth Cotten
Ellie Goulding
Elliot Easton 
Elliot Ingber 
Elliott Randall
Elliott Sharp
Elliott Smith
El McMeen
Elmore James
Elvis Presley
Ely Buendia 
Emily Osment
Emily Remler
Emppu Vuorinen 
Enrik Garcia 
Eric Bazilian 
Eric Bell 
Eric Brosius 
Eric Clapton 
Eric Erlandson 
Eric Faulkner 
Eric Gale
Eric Hutchinson
Eric Johnson
Eric McFadden 
Eric Melvin 
Eric Peterson 
Eric Stewart 
Erik Mongrain
Erik Rutan 
Erkan Oğur
Eros Ramazzotti
Esteban
Ethan Brosh
Eugene Chadbourne
Eugene Hütz 
Euronymous 
Evan Taubenfeld 
Ezra Koenig 
Faraz Anwar 
Fareed Haque 
Farin Urlaub 
Fast Eddie Clarke 
Federico Miranda 
Federico Ramos
Ferdinando Carulli
Fernando Sor
Fito Cabrales 
Flattus Maximus 
Flavio Rodrigues
Flavio Sala
Forrest Kline 
Francesco Corbetta
Francisco Tárrega
Francis Dunnery 
Francis Rossi 
Franco Cerri
Frank Claussen 
Frank Gambale
Frank Hannon 
Frank Iero 
Frankie Sullivan 
Frank Klepacki
Frank Marino 
Frank Ocean
Frank Vignola
